nameJp,nameJpS,countryCode,countryCodeThreeLetter,regionCode,capitalJp,secondCapitalJp,isIsland,lat,lon,landLocked,nameJpB,nameJpBAbbr,population,borders.0,borders.1,borders.2,borders.3,borders.4,borders.5,borders.6,borders.7,borders.8,borders.9,borders.10,borders.11,borders.12,borders.13,borders.14,regionalBlocks.0,regionalBlocks.1,regionalBlocks.2,area
フランス共和国,フランス,FR,FRA,Europe,パリ,リヨン,false,48.856614,2.3522219,,仏蘭西,仏,66710000,AND,BE,DE,IT,LU,MC,ES,CH,,,,,,,,UN,EU,,551500
ミクロネシア連邦,ミクロネシア,FM,FSM,Oceania,パリキール,,true,6.9147118,158.1610274,,蜜克羅尼西亜,,102800,,,,,,,,,,,,,,,,UN,,,702
ガボン共和国,ガボン,GA,GAB,Africa,リーブルビル,ポールジャンティ,false,0.390841,9.453644,,加蓬,,1802278,CMR,CG,GQ,,,,,,,,,,,,,UN,AU,,267668
グレートブリテン・北アイルランド連合王国,イギリス,GB,GBR,Europe,ロンドン,,true,51.5112139,-0.1198244,,英吉利,英,65110000,IRL,,,,,,,,,,,,,,,UN,EU,,242495
ジョージア,ジョージア,GE,GEO,Europe,トビリシ,クタイシ,false,41.709981,44.792998,,具琉耳,,3720400,ARM,AZ,RU,TR,,,,,,,,,,,,UN,,,69700
ガーナ共和国,ガーナ,GH,GHA,Africa,アクラ,クマシ,false,5.5557169,-0.196306,,加納,,27670174,BFA,CI,TG,,,,,,,,,,,,,UN,AU,,238533
ギニア共和国,ギニア,GN,GIN,Africa,コナクリ,カンカン,false,9.537029,-13.67847,,幾内亜,,12947000,CIV,GW,LR,ML,SN,SL,,,,,,,,,,UN,AU,,245857
ガンビア共和国,ガンビア,GM,GMB,Africa,バンジュール,,false,13.4530556,-16.5775,,岡比亜,,1882450,SEN,,,,,,,,,,,,,,,UN,AU,,11295
ギニアビサウ共和国,ギニアビサウ,GW,GNB,Africa,ビサウ,バファタ,false,11.8666667,-15.6,,幾内亜比紹,,1547777,GIN,SN,,,,,,,,,,,,,,UN,AU,,36125
赤道ギニア共和国,赤道ギニア,GQ,GNQ,Africa,マラボ,バタ,false,3.75,8.7833333,,赤道幾内亜,,1222442,CMR,GA,,,,,,,,,,,,,,UN,AU,,28051
ギリシャ共和国,ギリシャ,GR,GRC,Europe,アテネ,テッサロニキ,false,37.9837155,23.7293097,,希臘,希,10858018,ALB,BG,TR,MK,,,,,,,,,,,,UN,EU,,131957
グレナダ,グレナダ,GD,GRD,SouthAmerica,セントジョージズ,,true,12.053532,-61.749684,,格林納達,,103328,,,,,,,,,,,,,,,,UN,CARICOM,,344
グアテマラ共和国,グアテマラ,GT,GTM,NorthAmerica,グアテマラシティ,ケツァルテナンゴ,false,14.624795,-90.532818,,瓜地馬拉,,16176133,BLZ,SV,HN,MX,,,,,,,,,,,,UN,CAIS,,108889
ガイアナ共和国,ガイアナ,GY,GUY,Africa,ジョージタウン,ニューアムステルダム,false,6.804611,-58.154831,,圭亜那,,746900,BRA,SR,VE,,,,,,,,,,,,,UN,CARICOM,USAN,214969
ホンジュラス共和国,ホンジュラス,HN,HND,NorthAmerica,テグシガルパ,サン・ペドロ・スーラ,false,14.0833,-87.2167,,閎都拉斯,,8576532,GTM,SV,NK,,,,,,,,,,,,,UN,CAIS,,112492
クロアチア共和国,クロアチア,HR,HRV,Europe,ザグレブ,スプリト,false,45.8130293,15.9778949,,哥羅西亜,,4190669,BIH,HU,ME,RS,SI,,,,,,,,,,,UN,EU,,56594
ハイチ共和国,ハイチ,HT,HTI,NorthAmerica,ポルトープランス,ゴナイーヴ,true,18.539269,-72.336408,,海地,,11078033,DOM,,,,,,,,,,,,,,,UN,CARICOM,,27750
ハンガリー共和国,ハンガリー,HU,HUN,Europe,ブダペスト,デブレツェン,false,47.497912,19.040235,Single,洪牙利,洪,9823000,AUT,HR,RO,RS,SK,SI,UA,,,,,,,,,UN,EU,,93027
インドネシア共和国,インドネシア,ID,IDN,Asia,ジャカルタ,スラバヤ,true,-6.211544,106.845172,,印度尼西亜,尼,258705000,TLS,MY,PG,,,,,,,,,,,,,UN,ASEAN,,1910931
インド共和国,インド,IN,IND,Asia,デリー,,false,28.635308,77.22496,,印度,印,1295210000,AFG,BD,BT,MM,CN,NP,PK,LK,,,,,,,,UN,SAARC,,3287263
アイルランド,アイルランド,IE,IRL,Europe,ダブリン,コーク,true,53.3498053,-6.2603097,,愛蘭,愛,6378000,GBR,,,,,,,,,,,,,,,UN,EU,,69825
イラン・イスラム共和国,イラン,IR,IRN,Asia,テヘラン,マシュハド,false,35.696216,51.422945,,伊朗,,79369900,AFG,AM,AZ,IQ,PK,TR,TM,,,,,,,,,UN,,,1628750
イラク共和国,イラク,IQ,IRQ,Asia,バグダッド,バスラ,false,33.325,44.422,Sub,伊拉克,,37883543,IRN,JO,KW,SA,SY,TR,,,,,,,,,,UN,AL,,435244
アイスランド共和国,アイスランド,IS,ISL,Europe,レイキャビク,アークレイリ,true,64.135338,-21.89521,,氷州,氷,334300,,,,,,,,,,,,,,,,UN,EFTA,,103000
イスラエル国,イスラエル,IL,ISR,Asia,エルサレム,テルアビブ,false,31.768319,35.21371,,以色列,,8527400,EGY,JO,LB,SY,,,,,,,,,,,,UN,,,22072
イタリア共和国,イタリア,IT,ITA,Europe,ローマ,ミラノ,false,41.8929163,12.4825199,,伊太利,伊,60665551,AUT,FR,SM,SI,CH,VA,,,,,,,,,,UN,EU,,301336
ジャマイカ,ジャマイカ,JM,JAM,NorthAmerica,キングストン,モンテゴ・ベイ,true,17.992731,-76.7920089,,牙買加,,2723246,,,,,,,,,,,,,,,,UN,CARICOM,,10991
ヨルダン・ハシミテ王国,ヨルダン,JO,JOR,Asia,アンマン,ザルカ,false,31.9565783,35.9456951,Sub,約旦,,9531712,IRQ,IL,SA,SY,,,,,,,,,,,,UN,AL,,89328
日本国,日本,JP,JPN,Asia,東京,大阪,true,35.689568,139.691717,,,,126960000,,,,,,,,,,,,,,,,UN,,,377972
カザフスタン共和国,カザフスタン,KZ,KAZ,Asia,アスタナ,,false,51.1666667,71.4333333,Single,香佐富斯坦,香,17753200,CHN,KG,RU,TM,UZ,,,,,,,,,,,UN,EEU,,2724900
ケニア共和国,ケニア,KE,KEN,Africa,ナイロビ,モンバサ,false,-1.2920659,36.8219462,,肯尼亜,,47251000,ETH,SO,SS,TZ,UG,,,,,,,,,,,UN,AU,,581313
キルギス共和国,キルギス,KG,KGZ,Asia,ビシュケク,オシ,false,42.870022,74.587883,Single,黠戞斯,,6047800,CHN,KZ,TJ,UZ,,,,,,,,,,,,UN,EEU,,199951
カンボジア王国,カンボジア,KH,KHM,Asia,プノンペン,バタンバン,false,11.558831,104.917445,,柬埔寨,,15626444,LAO,TH,VN,,,,,,,,,,,,,UN,ASEAN,,181035
キリバス共和国,キリバス,KI,KIR,Oceania,タラワ,,true,1.3290526,172.9790528,,基里巴斯,,113400,,,,,,,,,,,,,,,,UN,,,726
セントクリストファー・ネイビス連邦,セントキッツ,KN,KNA,NorthAmerica,バセテール,,true,17.3026058,-62.7176924,,聖基茨尼維斯,,46204,,,,,,,,,,,,,,,,UN,CARICOM,,261
コソボ共和国,コソボ,KS,,Africa,プリシュティナ,プリズレン,false,42.672421,21.164539,Single,科索伏,,50801405,PRK,,,,,,,,,,,,,,,,,,10887
大韓民国,韓国,KR,KOR,Asia,ソウル,釜山,false,37.566535,126.9779692,,,,50801405,PRK,,,,,,,,,,,,,,,UN,,,100033
クウェート国,クウェート,KW,KWT,Asia,クウェート,,false,29.3697222,47.9783333,,科威特,,4183658,IRN,SA,,,,,,,,,,,,,,UN,AL,,17818
ラオス人民民主共和国,ラオス,LA,LAO,Asia,ビエンチャン,ルアンパバーン,false,17.962769,102.614429,Single,老檛,老,6492400,MMR,KH,CN,TH,VN,,,,,,,,,,,UN,ASEAN,,236800
レバノン共和国,レバノン,LB,LBN,Asia,ベイルート,トリポリ,false,33.8886289,35.4954794,,黎巴嫩,,5988000,ISR,SY,,,,,,,,,,,,,,UN,AL,,10452
リベリア共和国,リベリア,LR,LBR,Africa,モンロビア,ブキャナン,false,6.300774,-10.79716,,里卑利亜,,4615000,GIN,CI,SL,,,,,,,,,,,,,UN,AU,,111369
リビア,リビア,LY,LBY,Africa,トリポリ,ベンガジ,false,32.876174,13.187507,,利比亜,,6385000,DZA,TD,EG,NE,SD,TN,,,,,,,,,,UN,AU,AL,1759540
セントルシア,セントルシア,LC,LCA,NorthAmerica,カストリーズ,,true,14.0101094,-60.9874687,,聖盧西亜,,186000,,,,,,,,,,,,,,,,UN,CARICOM,,539
リヒテンシュタイン公国,リヒテンシュタイン,LI,LIE,Europe,ファドーツ,,false,47.14137,9.5207,Double,利支敦士登,,37623,AUT,CH,,,,,,,,,,,,,,UN,EFTA,,160
スリランカ民主社会主義共和国,スリランカ,LK,LKA,Asia,スリジャヤワルダナプラコッテ,キャンディ,true,6.883201,79.906982,,斯里蘭,錫,20966000,IND,,,,,,,,,,,,,,,UN,SAARC,,65610
ソマリランド共和国,ソマリランド,LN,,Africa,ハルゲイサ,,false,9.5,44,,,,20966000,IND,,,,,,,,,,,,,,,,SAARC,,137600
レソト王国,レソト,LS,LSO,Africa,マセル,テヤテヤネング,false,-29.308319,27.4916,Single,莱索托,,1894194,ZAF,,,,,,,,,,,,,,,UN,AU,,30355
リトアニア共和国,リトアニア,LT,LTU,Europe,ビリニュス,カウナス,false,54.6871555,25.2796514,,里都亜尼亜,,2872294,BLR,LV,PL,RU,,,,,,,,,,,,UN,EU,,65300
ルクセンブルク大公国,ルクセンブルク,LU,LUX,Europe,ルクセンブルク,エシュ＝シュル＝アルゼット,false,49.611621,6.1319346,Single,盧森堡,,576200,BEL,FR,DE,,,,,,,,,,,,,UN,EU,,2586
